No.,Parent Company Name,Mill Name,Country,State/Province,Latitude,Longitude
262,Astra Agro Lestari,Kimia Tirta Utama,Indonesia,Riau,0.676244,101.726446
263,Langgak Inti Lestari,Langgak Inti Lestari,Indonesia,Riau,0.634916667,100.5917778
264,Mandiri Sawit Bersama,Aek Tinga,Indonesia,Sumatera Utara,1.073630556,99.99511944
265,Bumi,Meskom Agro Sarimas,Indonesia,Riau,1.54875,102.08845
266,Mitra Agung Sawita Sejati,Mitra Agung Swadaya,Indonesia,Riau,-0.4915,102.0635
267,Anugerah,Mitra Sawit Jambi (Rantau Badak),Indonesia,Jambi,-1.316889,103.0868333
268,Mitrasari Prima,Mitrasari Prima,Indonesia,Riau,0.136306,101.705028
269,Asian Agri And Apical,Mustika Agro Sari,Indonesia,Riau,-0.07685,101.254025
270,Mutiara Sawit Semesta,Mutiara Sawit Semesta,Indonesia,Jambi,-1.607916667,102.8632222
271,Nagamas Agro Mulia,Nagamas Agro Mulia,Indonesia,Riau,1.3011,100.3977
272,Gemilang Cahaya Mentari,Gemilang Cahaya Mentari,Indonesia,Bangka Belitung,-1.950305556,105.7893889
273,Astra Agro Lestari,Nirmala Agro Lestari,Indonesia,Kalimantan Tengah,-2.091933,111.48705
274,Palma Mas Sejahtera,Palma Mas Sejati,Indonesia,Bengkulu,-3.777933,102.369
275,Wasundari Indah,Pangkalan Baru Indah,Indonesia,Riau,0.423633,101.58915
276,Perkebunan Pelalu Raya,Perkebunan Pelalu Raya,Indonesia,Sumatera Barat,-0.1004,100.049
277,Permata Subur Lestari,Permata Subur Lestari,Indonesia,Kalimantan Barat,0.027861,111.433417
278,Jhagdra Group,Persada Agro Sawita,Indonesia,Riau,-0.41125,102.3595
279,Persada Alam Jaya,Persada Alam Jaya,Indonesia,Jambi,-1.043886,102.887223
280,Perkebunan Nusantara IV,Pinang Tinggi,Indonesia,Jambi,-1.963,103.4004
281,Sumber Jaya Indahnusa Coy,Kotalama,Indonesia,Riau,0.891169,100.697711
